pmid,title,abstract,journal
14152121,LEFT ATRIAL THROMBUS WITH BALL VALVE ACTION. REPORT OF A CASE WITH SUCCESSFUL SURGICAL REMOVAL.,,Archives of internal medicine
14798578,[Acute heart diseases; a central problem for general practitioners].,,Svenska lakartidningen
706896,[Effect of surgical intervention on leukocyte osmotic resistance in heart defects].,,Zhurnal eksperimental'noi i klinicheskoi meditsiny
5203546,"[Electric activity of the brain in patients with hypoxemic lung and heart diseases, especially during oxygen respiration].",,Zeitschrift fur Erkrankungen der Atmungsorgane mit Folia bronchologica
14065367,STUDIES ON RHEUMATIC FEVER WITH IMMUNOFLUORESCENT METHOD.,,Japanese heart journal
14177168,[HEPARIN IN THE EMERGENCY THERAPY OF CARDIOGENIC CEREBRAL EMBOLISMS. CASUISTIC CONTRIBUTION].,,Minerva medica
14092852,[THE CAUSES OF CARDIO-AORTIC MORTALITY IN ADULTS (BASED ON 1000 CONSECUTIVE ANATOMO-CLINICAL CASES)].,,Journal de medecine de Lyon
14052641,[DISPENSARY OBSERVATION ON CHILDREN WITH FUNCTIONAL CARDIOVASCULAR CHANGES].,,Voprosy okhrany materinstva i detstva
14836841,[Certain trends in the treatment of heart diseases].,,Zdravstveni vestnik
14857909,[Considerations on the social importance of heart diseases].,,Archives de medecine sociale
14862743,[Intracardiac catheterism in diagnosis of congenital heart diseases].,,Medicina espanola
13232398,[Maximum aerobic work as index of percentual measurement of invalidity caused by pulmonary and heart diseases].,,Giornale italiano della tubercolosi
13997720,[Early semiology of right ventricular insufficiency].,,"Vie medicale (Paris, France : 1920)"
14140166,[ACUTE GASTRIC AND DUODENAL EROSION AND ULCERS IN PATIENTS WITH MYOCARDIAL INFARCT].,,Klinicheskaia meditsina
14013146,[Occurrence of mitral insufficiency during decompensation in hypertensive and sclerotic heart diseases].,,Minerva medica
13349803,[Problem of heart diseases in medical consultation in athletics].,,Polski tygodnik lekarski
14122382,[CARDIOPATHY IN PREGNANCY. CLINICAL CONTRIBUTION TO THE SELECTIVE TREATMENT].,,Bollettino della Societa italiana di cardiologia
17228073,Free-floating left atrial thrombus formed in a few weeks in a patient with a normal mitral prosthesis.,,Heart (British Cardiac Society)
5592657,[Surgical risk in coexisting cardiovascular diseases].,,Zeitschrift fur arztliche Fortbildung
14149426,[CLINICAL PECULIARITIES OF GASTRIC AND PEPTIC ULCER IN PATIENTS WITH CHRONIC CIRCULATORY INSUFFICIENCY].,,Terapevticheskii arkhiv
14249206,STUDIES IN MYOCARDITIS. I. ETIOLOGY AND PRIMARY COURSE.,,Cardiologia
14118166,[INDICATIONS FOR SURGICAL INTERVENTION IN ACQUIRED DEFECTS].,,Langenbecks Archiv fur klinische Chirurgie ... vereinigt mit Deutsche Zeitschrift fur Chirurgie
14863262,[First research on transverse axial stratigraphy associated with frontal stratigraphy in acquired rheumatic heart diseases].,,Minerva pediatrica
14142775,[PRACTICAL ELECTROCARDIOGRAPHIC CONCEPTS. SECTION 3. II. DICTIONARY OF THE PRINCIPAL ECG CHANGES ENCOUNTERED IN CLINICAL PRACTICE].,,Concours medical
14136374,"[A RECENT SYNTHETIC ANTICOAGULANT: DICOUMOXYL (NETHOXY-L-BIS (HYDROXY-4-COUMARINYL-3)--2,2-ETHANE)].",,Annales medicales de Nancy
13983692,A case of cardiac sarcoidosis manifested uncontrollable ventricular tachycardia. Review of cardiac manifestations in sixteen cases of sarcoidosis.,,The American journal of cardiology
14061186,[POPULATION STUDIES OF THE FREQUENCY AND CHARACTERISTICS OF RHEUMATIC AND CARDIAC DISEASES IN A DISTRICT OF THE PROVINCE OF TURIN].,,Reumatismo
14176691,[HYGIENIC-PROPHYLACTIC MEASURES TO PREVENT THE SOLDIER FROM DEVELOPING COMPLICATIONS OR CARDIAC SEQUELAE OF THE MOST COMMON INFECTIOUS DISEASES IN OUR ENVIRONMENT].,,Revista de la sanidad militar argentina
13048234,[Pleural and pulmonary manifestations in cardiac insufficiency].,,La Revue du praticien
14267420,[CARDIO-RHEUMATOLOGICAL EXAMINATION TECHNICS IN THE PROVINCE OF RAVENNA].,,Minerva pediatrica
14225618,[APROPOS OF 3 FORMS OF INTERMITTENT DYSPNEA].,,Revue medicale de la Suisse romande
14178050,[PERICARDIAL PATHOLOGY IN A GENERAL MEDICINE DEPARTMENT].,,Coeur et medecine interne
13935499,[Radiological pseudotumoral aspects of pulmonary emboli in cardiac patients and in the cardiac lung].,,Annales de radiologie
1166675,[Cardiac diagnosis and therapy in occupational bronchopulmonary diseases].,,Zeitschrift fur Allgemeinmedizin
772657,James Mackenzie Lecture. The most alluring of occupations.,,The Practitioner
10461249,Successful Cox-maze III procedure combined with mitral valve replacement in a massively thrombosed left atrium.,"A case is reported of chronic atrial fibrillation resulting from long-standing rheumatic mitral stenosis complicated by a massively thrombosed left atrium. In this patient, restoration of sinus rhythm and atrial transport function was performed using a Cox-maze III procedure with mitral valve replacement.",The Journal of heart valve disease
14177897,[ON PCO2 DETERMINATION IN ARTERIAL BLOOD IN VAN SLYKE'S ANALYSIS AND IN ALVEOLAR AIR IN THE REBREATHING METHOD; A COMPARATIVE STUDY].,,Ugeskrift for laeger
14098538,[THE RESPIRATORY MECHANICS. PHYSIOLOGICAL PREMISES. TECHNIQUE AND PERSONAL CASE CONTRIBUTION].,,Il Policlinico. Sezione medica
14178107,[PULMONARY AMOID IN A CASE OF GENERALIZED PRIMARY AMYLOIDOSIS].,,"Gruzlica (Warsaw, Poland : 1926)"
9124177,Role of mitral regurgitation in preventing mitral orifice occlusion in a patient with a free-floating left atrial thrombus and mitral stenosis.,,American heart journal
20988687,Congenital heart disease.,,Guy's Hospital gazette
14437506,Psychosomatic aspects of heart disease.,,The Journal-lancet
13265150,[Sugar treatment in heart diseases].,,Medizinische Klinik
14358967,[Possible surgery in heart diseases].,,Srpski arhiv za celokupno lekarstvo
13014933,[Effect of heart diseases on menstruation].,,Rivista di patologia e clinica
13027719,[Medical treatment of heart diseases].,,Revista clinica espanola
14955251,[Morbid conditions which simulate heart diseases; results of clinical analysis of 100 cases].,,"Hospital (Rio de Janeiro, Brazil)"
13650430,The relationship between heart disease and gall-bladder disease.,,Annals of internal medicine
18907692,[On the question of traumatic heart disease].,,Cardiologia
5145832,Serum monoamine oxidase in the heart diseases.,,Nagoya medical journal
14435237,[Considerations on the epidemiology and clinical aspects of arteriosclerotic heart disease].,,Algerie medicale
14849183,"[Congenital heart diseases, with new methods for their diagnosis and surgical therapy].",,Cyprus medical journal
36411622,Circular RNAs as a promising biomarker for heart disease.,"Heart-related diseases account for a high proportion of deadly pathologies, so a large number of studies have been conducted to discover potential biomarkers for the early detection of heart disease. Circular RNAs (circRNAs) are known to be involved in various human diseases, and several circRNAs associated with heart disease have been reported recently. However, there is a lack of literature summarizing the potential of circRNAs as biomarkers of heart disease and suggesting future research prospects. In this review, the history of circRNA research and important studies on circRNAs are described. In addition, the biogenesis process of circRNAs and the applicability of circRNA as a biomarker of heart disease are introduced, and select studies that monitored circRNAs circulating in human blood as biomarkers of heart disease are summarized. The contents of this review may help the researchers interested in the detection and prevention of heart disease at an early stage.",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
13226328,[Surgical treatment of acquired heart disease; review based in part on experience during studies in the United States].,,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke"
13054473,Progress of heart disease control unit.,,The Mississippi doctor
14926866,[Enzymo-trephonic therapy of heart diseases].,,Gazzetta medica italiana
13545017,Angiocardiographic observations in mitral disease with special reference to volume variations in the left atrium.,,Acta radiologica. Supplementum
14404807,Hypercholesterolemia and heart disease.,,The Heart bulletin
14848813,Rheumatic heart disease.,,The Canadian nurse
20982625,[New therapy for heart disease with embryonic heart extracts].,,La Semana medica
14358137,[Mineral water treatment of heart disease of vesicular origin].,,Revue de pathologie generale et de physiologie clinique
20267090,Congenital heart disease with interventricular septal defect.,,Clinical proceedings - Children's Hospital of the District of Columbia
13047991,[Psychical concepts and the heart].,,Revista de medicina y ciencias afines
13153674,[Heart disease due to Chagas' disease in Rio de Janeiro: 32 cases].,,"Medicina, cirurgia, farmacia"
13446647,The surgery of acquired heart disease.,,Bulletin of the New York Academy of Medicine
8291971,Heart disease in patients with stroke. Part II: Impact and implications for rehabilitation.,"Cardiac disease reduces the long-term survival of stroke patients and increases the likelihood of intercurrent medical illness during the rehabilitation phase. It remains controversial whether heart disease negatively affects functional capabilities after stroke, but most studies agree that associated cardiac disease, especially congestive heart failure, adversely affects functional outcomes after stroke rehabilitation. Reliable clinical assessment of the presence and severity of heart disease in stroke patients may be hampered by mobility limitations, communication deficits, and other problems. Therefore, specialized diagnostic methods may be needed. The development and application of effective and consistent medical and rehabilitation guidelines for proper comprehensive care may enhance the likelihood of achieving favorable outcomes and of avoiding complications in patients with stroke.",Archives of physical medicine and rehabilitation
12928479,Proteomics of heart disease.,"Heart diseases resulting in heart failure are among the leading causes of morbidity and mortality in developed countries. The underlying molecular causes of cardiac dysfunction in most heart diseases are still largely unknown, but are likely to result from underlying alterations in gene and protein expression. Proteomics now allows us to examine global alterations in protein expression in the diseased heart and will provide new insights into cellular mechanisms involved in cardiac dysfunction and should also result in the generation of new diagnostic and therapeutic markers. In this article we review the current status of proteomic technologies and describe how these are being applied to studies of human heart disease.",Human molecular genetics
4274227,Contralateral effects of cardiac disease affecting primarily either the left or right chambers of the heart.,,American heart journal
13793733,Method in diagnosis of heart disease.,,Indian journal of medical sciences
13667221,MATERNAL death involving heart disease.,,The Ohio State medical journal
6451373,[X-ray analysis of 40 cases of high altitude heart disease of adult (comparative analysis of 40 cases of chronic cor pulmonale) (author's transl)].,,Zhonghua fang she xue za zhi Chinese journal of radiology
13245958,The roentgen appearance of the pulmonary veins in heart disease.,,Radiology
13124716,CASES from the medical grand rounds; Massachusetts General Hospital; Case 275; myxedema and heart disease.,,American practitioner and digest of treatment
13142786,[Personal experience with anesthesia in surgery of congenital and acquired heart disease].,,Jornal do medico
13151646,[Incidence and etiology of heart disease in Belo Horizonte].,,"Hospital (Rio de Janeiro, Brazil)"
14192347,THE MORTALITY RATE FROM HEART DISEASE.,,American heart journal
14000676,Myxedema heart disease. Report of a case.,,Alaska medicine
13515848,Anaesthesia in heart disease.,,The Medical journal of Australia
18150505,[Arterial embolism during heart disease].,,L'union medicale du Canada
18108764,The features and treatment of thyrotoxic heart disease.,,Modern treatment yearbook
20287282,Organic variability in heart disease.,,Postgraduate medicine
20280472,ENCOURAGING TRENDS in heart disease.,,Statistical bulletin (Metropolitan Life Insurance Company)
20984060,[Social medicine in heart disease].,,Revista medica de Chile
2248198,Free-floating ball thrombus in left atrium after mitral valve replacement: surgical removal following embolization to the aorta.,,American heart journal
12390712,Clinical analysis of hyperthyroid heart disease in 31 elderly patients.,"A clinical analysis of hyperthyroidism heart diseases was conducted in 31 elderly patients, of whom 15 (48.4%) had been misdiagnosed before accurate diagnoses were reached 4 months to 3 years later. Among the 15 misdiagnosed cases, 9 were misdiagnosed as coronary heart disease, 3 as pulmonary heart disease, 2 as hypertension heart disease and 1 as dilated cardiomyopathy. This result suggests that physicians need to be more aware of elderly hyperthyroidism, and thorough history inquiry, systemic examination and timely thyroid function test can reduce the misdiagnosis of hyperthyroid heart disease in elderly patients.",Di 1 jun yi da xue xue bao = Academic journal of the first medical college of PLA
14335157,[HEMOCHROMATOSIC HEART DISEASE].,,Minerva medica
13366606,PANEL discussion on heart disease.,,Journal of the American Geriatrics Society
18916144,Stethoscope diagnosis of heart disease.,,Clinical Society journal
20261705,The surgery of heart disease.,,Treatment services bulletin. Canada. Department of Veterans' Affairs
20283535,Round heart disease in poultry.,,The British veterinary journal
13287552,[Surgical treatment of congenital and acquired heart diseases].,,"Medicina contemporanea (Lisbon, Portugal)"
35440739,Childhood cardiovascular risk factors lead to heart disease in adults.,,Nature reviews. Cardiology
13840996,[Pulmonary disorders in heart disease].,,Belgisch tijdschrift voor geneeskunde
13000369,Recent advances in the diagnosis of heart disease.,,Journal - Michigan State Medical Society
14948752,The clinical assessment of cardiac efficiency.,,The Practitioner
14785102,[Note on heart disease following articular rheumatism in children and adolescents].,,Kinderarztliche Praxis
13346818,[Research on renal tubular mass in hypertension and heart diseases].,,Journal d'urologie medicale et chirurgicale
18107975,Congenital heart disease.,,The Journal of the Florida Medical Association. Florida Medical Association
14044066,THYROID HEART DISEASE.,,"The Journal of the Albert Einstein Medical Center, Philadelphia"
18108189,[Practical medical advice in congenital childhood heart disease].,,Revue medicale de France
21023220,[A case of heart disease].,,Revista colombiana de pediatria y puericultura
11273112,Pictorial CME.,,The Journal of the Association of Physicians of India
39374354,"The Persistent Three: Combating Heart Disease, Cancer, and Stroke in North Carolina.","Significant advances in science and medicine have not been adequate to dethrone heart disease, cancer, and stroke from their positions as three of the top killers of North Carolinians. In this issue, authors from across the state describe efforts to employ more holistic, comprehensive, and innovative approaches to primary and secondary prevention, as well as ensuring everyone who needs it has access to care and support through their disease journey. The articles in this issue include data and trends-as well as community examples-to explore evolving approaches to prevention, screening, treatment, and research.",North Carolina medical journal
5506880,Thyrotoxic heart disease.,,Wisconsin medical journal
13207018,The portal venous pressure in organic heart disease.,,American heart journal
13917596,Diagnostic clinic: heart and lung disease. Case of cardiopulmonary disease.,,The Journal of the Florida Medical Association. Florida Medical Association
13507435,[Heart disease in dermatomyositis].,,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete
18140042,"Heart disease, a public health problem.",,The Canadian nurse
13122586,[Regional leukocytosis in inflammatory and necrotic diseases of the heart].,,Terapevticheskii arkhiv
14866339,[Deformities of the spinal column in congenital heart diseases].,,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris
13418535,[Renale heart disease].,,Minerva nefrologica
13473970,[Fractions of body water in compensated heart disease].,,Folia cardiologica
14159231,THE PERIPHERAL PULSE AS A DIAGNOSTIC TOOL.,,Angiology
24049873,[From diagnosis to treatment of heart diseases (with special difference to ischemic heart disease). 1. Heart diseases (on medical information)].,,Nihon Hoshasen Gijutsu Gakkai zasshi
14379358,[Heart diseases in children].,,Ceskoslovenska pediatrie
4231757,Autopsy data on heart disease in Jamaica.,,Tropical and geographical medicine
33153906,Champions for Change: The Heart Foundation's Quest to Address Heart Disease in Australian Women.,,"Heart, lung & circulation"
13600257,I-131 treatment for chronic heart disease.,,"Mississippi Valley medical journal (Quincy, Ill)"
13577677,Pre- and postoperative management of the patient with heart disease.,,Modern concepts of cardiovascular disease
13923462,[Heart disease and enzyme chemistry].,,Naika. Internal medicine
18100481,Roentgenologic contours in heart disease.,,"Clinical medicine (Northfield, Ill.)"
18909879,[Surgical heart disease].,,Schweizerisches medizinisches jahrbuch
2213088,Coping with heart disease.,,The Journal of cardiovascular nursing
14279908,[PROGRESS OF SURGERY IN HEART DISEASE].,,Naika. Internal medicine
14489544,Civilization-induced neurogenic degenerative heart disease. Origin and prevention.,,Cardiologia
14028405,[Problems in the balneotherapy of acquired heart disease at the Bankjia resort].,,Suvremenna meditsina
18139047,Surgery in congenital heart disease.,,Diseases of the chest
19069450,[Heart disease and pregnancy: grounds for confidence in the safe outcome].,"Indications for prolongation of pregnancy and spontaneous delivery in women with congenital and acquired heart disease are proposed based on original observations and literature data. Special attention is given to risk factors of an undesirable outcome of pregnancy for mothers with high functional class cardiac insufficiency, high blood pressure gradient, and severe pulmonary hypertension with mitral valve and aortic stenosis.",Klinicheskaia meditsina
21207194,The clinical and diagnostic significance of anti-myosin autoantibodies in cardiac disease.,"Autoimmunity is influenced by genetic, immune, hormonal, and environmental factors. Viral infections may trigger autoimmunity. It has been established that autoimmunity may be a contributing factor in the pathogenesis of heart disease. Anti-heart autoantibodies have been identified in the sera of patients with heart diseases, as well as in low titers in certain healthy individuals. Nevertheless, the role of humoral immunity in the development of autoimmune heart disease has not been fully established. Anti-myosin autoantibodies appear in several heart diseases such as myocarditis, dilated cardiomyopathy, Chagas' heart disease, Kawasaki disease, rheumatic fever, and ischemic myocardium. The pathogenic role of anti-myosin autoantibodies in heart disease is not fully understood. Moreover, little is known concerning the clinical implications of anti-myosin autoantibodies in heart disease and its prognostic significance. Anti-cardiac myosin autoantibodies were found to cross-react with the β-adrenergic receptor. Studies have reported the effective use of the anti-myosin directed immune-modulating approach in animals with heart disease, although no specific anti-myosin autoantibody therapeutic approach has been attempted in humans. Herein, we review the current knowledge of anti-myosin autoantibodies and the use of targeted immune-modulating therapy in different heart diseases.",Clinical reviews in allergy & immunology
2781258,Sudden impact. Why a little heart disease can be worse than a lot.,,Scientific American
3198411,The elderly today and tomorrow. Heart disease in later life.,,Health visitor
9090040,Testing for heart disease in dogs.,,The Veterinary record
4913176,[Viruses and heart disease].,,Lakartidningen
14786693,[Surgery of heart diseases].,,Revista clinica espanola
14358162,[Effects of centropneine on dyspneic crises in heart disease].,,Revue de pathologie generale et de physiologie clinique
13128863,The changing outlook in heart disease; an insurance viewpoint.,,International record of medicine and general practice clinics
13143150,The incidence of heart disease and disorders in Egypt.,,The Journal of the Egyptian Medical Association
33632454,The relationship between heart disease and cognitive impairment.,"Neurodegenerative dementias, such as Alzheimer's disease, and vascular cognitive impairment were once considered unrelated processes. Emerging evidence, however, shows that both conditions often coexist and that vascular risk factors in midlife predispose to the development of cognitive decline later in older adults. In addition, recent advanced in basic science research have elucidated key underpinnings of this association. In this chapter, we review the clinical and basic science data that explain the relationship between vascular risk factors, heart disease, and cognitive decline.",Handbook of clinical neurology
13846743,Severe anemia with symptoms simulating advanced heart disease.,,GP
4600523,Effect of valvular surgery on antibody to the group A streptococcal carbohydrate.,,Circulation
13776976,Management of pregnancy in heart disease.,,Burma medical journal
13739929,Straight back syndrome: a new heart disease.,,Diseases of the chest
14790510,[Heart diseases in elementary schools in Ancona; results of a school survey].,,Annali della sanita pubblica
14020300,Variations in heart disease mortality among counties of New York State.,,"Public health reports (Washington, D.C. : 1896)"
13540635,ANTICOAGULANTS in ischaemic heart disease.,,Medical world
18661588,Panic attacks linked to heart disease.,,Harvard heart letter : from Harvard Medical School
13197408,The mechanics of pulmonary ventilation in patients with heart diseases.,,The American journal of medicine
14072190,HEART DISEASE AND THE DENTIST.,,Bulletin - Sinai Hospital of Detroit
18902787,Heart disease in Alabama.,,Journal of the Medical Association of the State of Alabama
14065164,"[DIFFERENTIAL DIAGNOSIS OF CONGENITAL HEART DEFECTS. SYNOPSIS OF THE RADIOGRAPH, ELECTROCARDIOGRAM AND PHONOCARDIOGRAM].",,Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin
23434011,Do we just assess the left ventricle in pregnant women with structural heart disease?,,International journal of cardiology
13446408,The lungs in heart disease.,,The British journal of tuberculosis and diseases of the chest
7330475,[Hypertensive heart disease (author's transl)].,,Kokyu to junkan. Respiration & circulation
14884266,Chronic cor pulmonale in dogs with Difilaria immitis (heart worms) infestation.,,Transactions of the Association of American Physicians
13111862,Heart disease in the aged.,,Pennsylvania medical journal (1928)
61151,[Round heart disease in turkeys].,,Harefuah
13772227,[Chagas's heart disease].,,Revista de la Asociacion Medica Argentina
14452464,The use of cinefluorography in acquired heart disease.,,Circulation
13098130,Haemochromatosis of the heart.,,"Lancet (London, England)"
13014159,[Potassium in cardiovascular physiopathology].,,Il Progresso medico
13549235,"Heart scare, heart surveys, and iatrogenic heart disease; emotional and symptomatological effects of suggesting to one hundred sixty-two adults that they might have heart disease.",,Journal of the American Medical Association
14193050,[DIPHTHERITIC HEART DISEASE IN INFANTS AND CHILDREN].,,La Clinica pediatrica
13088014,[Effect of digitalis on strophanthin refractive heart diseases].,,Orvosi hetilap
12993064,[Therapy of heart diseases with convallaria].,,Munchener medizinische Wochenschrift (1950)
9386201,"Obesity and heart disease: a statement for healthcare professionals from the Nutrition Committee, American Heart Association.",,Circulation
13665976,Changes in coagulability of the blood during various phases of ischaemic heart-disease.,,"Lancet (London, England)"
18109564,Congenital heart disease.,,The Medical press
5643031,Cardiac pathology in the aged.,,Geriatrics
13318625,Goals for heart disease.,,The Heart bulletin
4935051,Autoimmune heart disease.,,Circulation
14918449,RESTRICTIONS in heart-disease.,,"Lancet (London, England)"
14773020,[Anesthesia in surgery of congenital heart diseases with cyanosis].,,Clinica nuova; rassegna del progresso medico internazionale
1747800,Cardiac disease in pregnancy.,"The pregnant patient with normal cardiac function can accommodate many significant alterations in the cardiovascular system without difficulty. Pregnancy in a patient with significant cardiac disease, however, can be extremely hazardous, resulting in decompensation and even death. these conditions account for up to 30% of maternal mortality. This article reviews the interaction between cardiac disease and pregnancy.",Critical care clinics
10205578,Women & heart disease.,,RN
14809145,[Heart catheterization and angiocardiography in the diagnosis of congenital heart diseases. II. Clinical casuistics].,,La Riforma medica
13822016,Iatrogenic heart disease.,,Journal of the Medical Association of Georgia
13807083,"[Heart diseases in pregnancy and the puerperium: ""postpartal heart disease""].",,Minerva medica
10234376,Adolescents with congenital heart disease: psychopathological implications.,"The psychopathological risks of congenital heart disease in adolescence are described. The emotional development of adolescents with cardiopathy is discussed, including distortions in body image and separation-individuation issues. The consequences of cyanotic and acyanotic cardiopathies for intellectual functioning are noted, and the impact of congenital heart disease on interactions with parents and siblings is presented. Psychopathological implications of heart transplant are also reviewed.",Adolescence
14399352,Smoking in relation to heart disease.,,American journal of public health and the nation's health
13559547,Lung changes in acquired heart disease.,,"The American journal of roentgenology, radium therapy, and nuclear medicine"
18121474,[On the operability of congenital heart disease].,,"A Pediatria; revista mensal de clinica, patologia e higiene infantil"
2002715,[Mediastinal irradiation--a risk factor of heart disease].,,Lakartidningen
5464730,[Clinical findings in the so-called mulberry heart disease of pigs].,,Deutsche tierarztliche Wochenschrift
13948693,Changing mortality in the types of heart disease.,,The American journal of cardiology
18143561,[Heart disease in the form of a curve; didactic representation].,,Helvetica medica acta
18862750,Reversible heart disease.,,The Ohio State medical journal
20276614,Legal aspects of heart disease.,,Modern medicine
12979742,[Therapy of heart diseases with adrenal cortical hormones].,,Deutsche medizinische Wochenschrift (1946)
14947706,[Electrocardiographic findings and heart diseases in the students of the schools of Genoa].,,Minerva medica
13702618,[Chronic Chagas' heart disease].,,Revista cubana de cardiologia
1195037,Reliability of heart disease diagnoses.,,The Journal of the Oklahoma State Medical Association
30862362,Decoding genetic risks of heart disease.,,EBioMedicine
14915873,Cardiac disorders of collagen diseases.,,Arizona medicine
10501112,Diabetes and decline in heart disease mortality.,,JAMA
5175798,Heart disease today.,,The American journal of nursing
4258196,Round heart disease in four commercial strains of turkeys.,,Poultry science
14840340,[Diagnosis of heart disease].,,Duodecim; laaketieteellinen aikakauskirja
23557607,Almanac 2012: Congenital Heart Disease. The National Society Journals Present selected research that has driven recent advances in clinical cardiology.,"This Almanac highlights recent papers on congenital heart disease in the major cardiac journals. Over 100 articles are cited. Subheadings are used to group relevant papers and allow readers to focus on their areas of interest, but are not meant to be comprehensive for all aspects of congenital cardiac disease.",Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese
25150471,Prognostic value of programmed ventricular stimulation for sudden death in selected high risk patients with structural heart disease and preserved systolic function.,,International journal of cardiology
13182934,[Surgery of cardiac diseases].,,El Dia medico
18871587,Cor pulmonale; observations on 42 autopsied patients.,,The American journal of medicine
18123944,Heart disease in general practice.,,The Medical press
18124324,What the dentist should know about heart disease.,,The Proceedings of the Institute of Medicine of Chicago
18117195,[Bronchial asthma and heart disease (transl.)].,,Actualidad medica
18114146,[Beer and heart disease].,,Revista de medicina y ciencias afines
5079570,Heart disease in the dog.,,The Journal of small animal practice
13048236,[Physiopathology of cardiac kidney].,,La Revue du praticien
13243036,Myxedema heart disease; report of a case with aortic dissection and survival.,,The Journal of the Medical Society of New Jersey
13597699,Chronic Chagaś heart disease.,,El Dia medico
13084123,IATROGENIC heart disease.,,The Heart bulletin
13484540,[Electrocardiographic manifestations in heart disease caused by icterohemorrhagic leptospirosis].,,Il Policlinico. Sezione pratica
13006566,Therapeutic use of heart extracts.,,Zeitschrift fur arztliche Fortbildung
18913015,Anaesthesiological considerations of valvular heart disease.,,Manitoba medical review
13222373,[Atypical forms of interlobar effusions in cardiac patients].,,"Journal de radiologie, d'electrologie & archives d'electricite medicale"
10182478,Heart disease: how women can reduce their risk.,,Consumer reports
3691359,Pharmacokinetic considerations in treatment of severe heart disease.,,East African medical journal
14237295,[THE CINETOCARDIOGRAM IN OPERABLE HEART DISEASE].,,Wiener klinische Wochenschrift
13929565,Recent advances in the physiology of acquired heart disease.,,New York state journal of medicine
18919194,Congenital heart disease.,,The Medical journal of Australia
20251932,[Heart disease and pregnancy].,,"Hospital (Rio de Janeiro, Brazil)"
13775176,Physiologic methods in the study of acquired heart disease.,,The Medical annals of the District of Columbia
20996158,Congenital heart disease.,,The Clinical journal
28963608,Acyanotic and Cyanotic Congenital Heart Diseases.,"There has been tremendous progress in treatment of heart disease in children. Device therapy is increasingly being used in acyanotic congenital heart disease, while surgical results have improved significantly to give smile to many cyanotic heart disease children and their parents. This article makes an attempt to increase awareness of general pediatricians about common congenital heart diseases.",Indian journal of pediatrics
4327486,[The bilharzian heart at Abidjan].,,Archives des maladies du coeur et des vaisseaux
13142487,Auscultation of the heart.,,The Heart bulletin
7319480,Microscopical atrial amyloidosis in chronic heart disease.,Nineteen out of 121 consecutive cardiac biopsies from 107 patients were found to contain amyloid deposits on routine Congo red screening. Seventeen were left atrial appendages removed during mitral valvotomy for chronic rheumatic mitral valve disease while the remaining two were right atrial appendages excised during surgical repair of atrial septal defects. The distribution of amyloid deposits within the atria and their tinctorial characteristics are described. The high prevalence of atrial amyloidosis observed could not be attributed to generalized or senile amyloidosis. The possibility that this is a distinctive localized form of amyloidosis secondary to chronic heart disease is discussed.,Histopathology
13247755,[Therapeutic use of potassium in heart diseases].,,Vnitrni lekarstvi
18888732,"Congenital heart disease, intestinal obstruction in infants.",,The Medical journal of Australia
18403616,"Depression, antidepressants and heart disease.","Around 1 in 5 people with coronary artery disease has major depression and the prognosis in heart disease is worse in those who are also depressed. Many antidepressants have unwanted cardiovascular effects, so choosing between them may not be straightforward in patients with heart disease. Here, we consider whether any of the commonly used antidepressants are more or less likely to exacerbate heart disease and whether treatment for depression affects cardiac outcomes.",Drug and therapeutics bulletin
14339344,HEART DISEASE IN IRELAND.,,Journal of the Irish Medical Association
13740419,Restrictive heart disease: diagnosis and treatment.,,Angiology
14153276,MORTALITY RATES AMONG COAL MINERS.,,American journal of public health and the nation's health
16294400,Antibiotics vs. heart disease risk. How and why you should protect yourself against infection.,,Heart advisor
20284079,The association of gallbladder disease with heart disease; clinical and experimental observations.,,The Medical clinics of North America
13631339,Remunerative heart disease.,,The Journal-lancet
13562702,Homeopathic medication in heart disease.,,The Hahnemannian
13418387,Vascular lesions associated with heart disease.,,Military medicine
